id,text,surrogate_score,h1_score,h2_score,surrogate_label,h1_label,h2_label,disagrees
162721,"The Anglo-Boer war was a small skirmish blown out of proportion. The Afrikaners did not just move on from this minor incident, they used it as an excuse for job reservation for poor whites, actively cultivated a Afrikaner business elite with the help of the state, drove African farmers who where competing with white farmers off the land, reserved the right to vote for themselves and used Africans as oxen to generate the wealth they needed to ""move on"". They did all this things using their suffering at the hands of the British  as a justification, and of course, as you put it, they wanted to ""move on"".",0.52588624,0.5271644,0.5262667,1,1,1,False
78090,""" Trump has trouble with blacks because the media tells THE blacks that THE dems are better for them. ""
You seem to be suggesting that blacks are unable to figure out things for themselves and will believe whatever the media tells them. You should give them more credit. 

After all, they have seen the racist email chains. They have heard conservatives call Obama the food stamp president. They know that Republican legislators are trying to make it more difficult and time consuming to vote, and they also hear it when conservatives say that the only racists are those people who are drawing attention to racism.",0.50214386,0.5032081,0.5034122,1,1,1,False
54192,"""Some little Americans who want to be in our faces call themselves Nazis. But they aint."" Say what?????
O77, You often post points of view worth thinking about. But to say that all of the Nazis are dead and gone when Germany lost WWII is crazy. Nazism isn't a nationality, it's a political philosophy that, among other things, is based on authoritarian, white racial supremacy - the complete opposite of what this country is all about and what tens of thousands of our fellow citizens gave their lives fighting against.
 I saw/heard film footage of in Charlottesville with my own eyes and ears. People carrying Nazi flags and symbols; chanting Nazi slogans; and using the Nazi salute. If that doesn't make them Nazis, then what the heck are they???",0.5097339,0.50881106,0.5102296,1,1,1,False
85413,"The problem with these modern revisionist social justice statements is that most of these people haven't experienced actual systemic racism. The author couldn't have attended university at all if Canada were a racist state. The author of this piece discussed how her family had a very well to do job and lots of vacation time and got to travel the world growing up. Racism is not just a feeling, it is a real system that people had to live under in other countries where they were limited. Canada does not have a lot of it, most actual racism in this country revolved around first nations. Not immigrants of colour who chose to come here voluntarily and experience a better life. In South Africa the black majority was ruled by white minority without ability to vote. That's racism: a minority was telling the majority colour how to live. You can't redefine racism into what some of these social justice warriors in Canada think racism feels like, especially discussing how wealthy your family was.",0.4602889,0.4553197,0.45892453,0,0,0,False
91701,"""prove you are the officer’s equal or better, "" Wrong. Wrong, wrong, wrong. In some cases, it's better to StFup and let the officer be everything he ever imagined he was. I could tell you about the time I got cuffed and transported. Suffice to say that I was scared mute, and I'm white. Who knows what a cop is thinking. They have guns...",0.47212067,0.47289646,0.47394636,0,0,0,False
116985,"1) Just because you are black does not make you special.
2) Just because you are black does not make you a producer. Way to many examples of that.
3) It seems dignity comes with a price tag which defeats the original claim making it an entitlement to free money issue more than anything else.  
4) Take South Africa's land mass and divide it up to all blacks in the land then come here and tell me what you found.
5) I'm white and don't have a farm. I'm South African so can I get some land for free as well?
6) Why is it that when they point out the JSE your beloved ANC never point out that only 22% is owned by white South Africans but they never explain who owns the other 78%? Almost like landownership that percentage wise never include land in government hands or black corporate or tribal land but only focuses on ""private"" ownership that shows a skew picture at best.
7) Nationalization of land means no one owns it except the selected few. Good luck with that.",0.4799759,0.4780263,0.4804025,0,0,0,False
73337,"Going back over a year is meaningless. Over the last couple of months, Le Pen's numbers marginally improved, Fillion has slipped to 3rd, and Marcon has advanced to 2nd. The left-right spectrum you write of may be too simplistic. Certain voters (like blue-collar workers or blacks) that Clinton took for granted either voted for Trump or stayed home, and a similar situation may happen in France. Eventually, enough non-LePen voters may grow tired of strategic voting against her, and by staying home give her the victory.",0.48282537,0.48189574,0.48191097,0,0,0,False
99600,"History is one thing, but how do you explain what happened now? Can you explain what is the mind-set of these Nazi and KKK activists today? Many things that have happened in the past are very evil and bad, but humankind learns as it becomes more enlightened, and we don't accept these acts of human cruelty any more. Do you think the past justifies today?  If the Confederacy had actually won the Civil War, what do you think would have happened to the black slaves who couldn't escape? What if.",0.513981,0.51577234,0.5151169,1,1,1,False
150103,"Hilliary had just as many endorsements from the kkk. The Democrats started the kkk, The Democrats filibustered the civil rights act, twice. George Wallace, a Democrat, stood at the door to deny blacks entry to the University of Alabama for registration after it's passage. Democrats have largely been on the wrong side of history when it comes to social issues.",0.5025367,0.5040549,0.5032138,1,1,1,False
172000,"So your daughter expresses self-hatred because of her skin color and your first thought is that you should tell her something that amounts to, ""Well, YOU might feel bad, but you're white. Other races have it SO much worse than you.""

And when she DOESN'T grow up to be a racist snob after connecting to her heritage, you're PLEASANTLY SURPRISED? 

You are an absolutely pathetic excuse for a parent. You should NEVER have been allowed to have children. Ever.",0.5069308,0.509383,0.50916946,1,1,1,False
18363,"Trump was ""outraged"" that Hillary was too cozy with Goldman Sachs bankers and said if elected she would roll back regulations. So now Trump's administration is polluted with Goldman Sachs bankers, especially Bannon, the white nationalist making foreign and domestic policy, & Trump has rolled back regulations. Hypocrisy ?!?",0.51292133,0.5158333,0.51452225,1,1,1,False
86172,"It should be included.  I thought white people wanted to tell the truth about history, and the truth is that Jefferson and others did own slaves.  Slavery is American History, and as bad as your ancestors were doesn't make it a lie.  Why are white people so offended by what your ancestors did.  It's time everyone face the truth and move on.",0.49287462,0.4938396,0.49402648,0,0,0,False
151116,"Still waiting for universities to allow 'white students' unions/clubs.

Or disband all the Black/Chinese/Indian etc. clubs 

As a matter of either principle or 'fairness'

The origins of these clubs stems from when the members were highly likely to have come from abroad to study, and return home.

But since there are sizable (majority?)  populations of these groups who are Canadian born, what are they continuing to learn if they can join a segregated club?

How long will the irrationality of the existing situation go on?

On the other hand, since the apartheid of the entire 'fn' situation endures, I am not holding my breath...",0.48907647,0.48841304,0.4887867,0,0,0,False
153285,"Because white lives matter, but they matter less.",0.51836336,0.5220499,0.52078575,1,1,1,False
179851,"#White lives matter

There

Now all of us white folk can get the political support we need from our fair minded piticians and journalists

So it's official if you have a problem with our whiteness you are a racist fascist pig.

I'm telling you civil war is far closer than you communists think.
We have every right to protect our culture, language, and heritage
And we will.

That isnt racist
That is our right just like any other race.

We just never stood up before. I fucking guarantee we are now",0.49672705,0.49386248,0.4954454,0,0,0,False
15912,"kinda true, but i think we the public has shown, time and time again ,we remember zilch as a citizenry. that's why we are doomed to have history repeat itself...not just ""our"" history in the short 400 years whites have been on this continent, but in the whole of world history. try as we might to stand aloof , we are part of this stew and not above it looking in....",0.51331776,0.51557416,0.5154217,1,1,1,False
125219,"Based on your comments,  I am sure that if you were driving your new Dodge through an unruly crowd wearing makeshift riot gear and they stated pummeling your car with baseball bats and clubs (literally destroying the car as you sat in it) with plans to extract you from your car and beat you to pulp you'd do absolutely nothing correct?  I've seen 2 videos of what happened. 1 edited version that cuts out the 1st half of the video showing everyone destroying his car and then there's the full version that shows people destroying his car before he accelerated. The (edited version) last half of the video obviously suits the media's narrative better. I am not siding with anyone. But I also saw another video that showed 2 groups with makeshift riot gear and I have to ask where were the Police? Pretty clear to me both sides were at fault! While I do not agree with the message of the KKK, White Supremacist or Neo Nazi's, they are protected by the 1st 
Amendment better to just ignore them!",0.47082785,0.46857783,0.47037166,0,0,0,False
14105,"I've never felt that being white made me either superior or inferior, just a different color among many.  Recently, however, some black kids called me ""nigger"" and threatened me just because I asked them to leave our property.  I truly felt sorry for them, but I also understood their anger.",0.48521093,0.48600373,0.4867356,0,0,0,False
164242,"If you read the articl you'll see the headline here is misleading; Portland is not the most white city it's the most white city of its size. Plenty of whiter cities out there.  I sure didn't say the immigration has been or will be all good, simply saying most new whites bring a different life experience with them from the multigenerational white Oregonians who likely never have had a person of color at their dinner tables.",0.4991155,0.4995022,0.49932665,0,0,0,False
79721,Incredible.  Suggesting that someone is racist if they ascribe white-supremacist views to anyone with white skin gets the comment removed.  I wonder how long this comment will last...,0.49423242,0.49621594,0.49775127,0,0,0,False
97053,"if Hawaii ended up under the Kim's rule, people in Hawaii be blaming the White Man! yet again having to work and live under Un's rule today. There's no end to lay blame on the White Man.",0.49966714,0.5030746,0.5017538,0,1,1,True
164487,"You can give me legal mumbo jumbo all you want. Couching murder in legal mumbo jumbo does not change anything,  Lawyers can argue anything, sir, and if they are good enough, they can sound intelligent. Did you forget the Dread Scot decision of the SCOTUS?  Yes--lawyers intelligently argued that the SCOTUS should uphold slavery and the SCOTUS bought it. 

The fact is that when you cut though the legal mumbo jumbo of the Dread Scot decision, the end result---was that slavery was upheld and legal. Are any black people comforted by the fact that the decision was upheld because of legal mumbo jumbo? 

Slavery is slavery and Murder, sir, is murder.",0.50799495,0.5118539,0.5114573,1,1,1,False
172441,"For the love of God do NOT let this scumbag on our campus!  Stay out of our city!  You, nor any of these dumbass, inbred white-trash supremacists are wanted!  YOU ARE NOT WELCOME!",0.5189119,0.5240598,0.52230877,1,1,1,False
144441,When everything is in favour of whites then how can trust those leaks too?,0.513981,0.51575714,0.51563513,1,1,1,False
129754,"In fairness, they had a lot of stuff stolen and it's not like their culture is being stolen, it's not even being appropriated.  It should be called cultural adoption or cultural imitation.  And we all know that imitation is the finest form of flattery.

This nonsense of ""I don't want white people doing aboriginal things"" would be hilarious if it wasn't so bloody crazy.  If we have something to learn from you, why don't you teach us and let us learn it?",0.5152541,0.51575714,0.51699173,1,1,1,False
76219,"I stand corrected that you never said that 75% should have black coaches.  But, you keep saying that because there are so many black players in the NFL, there should be more black coaches.  You even specified 14-18 (not sure where you developed that number as ok).  That's a racist approach.  Good players don't necessarily make good coaches.  

If you want to play the numbers game, 13% of the USA is black.  13% of 32 teams is just over four teams.  Then 4 teams should have black coaches.  In 2017, there are 8 black coaches.  Should I demand that the racial makeup should reflect the general population of the USA?  That would also be racist.

Best person for the best job.  Period.  If someone does something racist to prevent a black person to get a job as head coach, they should be prosecuted for it.  Same goes for ANY race.

Oh, I didn't call you racist.  I said what you're saying is a racist approach.  BTW, you personally insulted me twice (uncivil).",0.50316423,0.5044669,0.5033187,1,1,1,False
65183,"Don't worry, Ms. Kish.  It was just a Native person, and you're ""white"".  You won't get more than a year for that.  Be thankful you didn't hit a dog...",0.5070567,0.50998557,0.51036686,1,1,1,False
143703,"Perhaps the opposite/similar to ""Black Cheese Monopoly Capitulation""......just wondering.....",0.50887966,0.51377517,0.51231897,1,1,1,False
55827,"Now I suppose we will hear a cadre of explainers tell us what Donald 'really' meant. Unacceptable tolerance of the intolerant, unbefitting the leader of the Free World.

“These groups seem to believe they have a friend in Donald Trump in the White House, and I would urge the president to dissuade that,” Graham said. Oh, but they do have a friend. Who is advising the President? Racist white supremacist Bannon (among others)! Who does Trump listen to and often praise? Putin. Walks like a duck....",0.49586114,0.4968815,0.4970227,0,0,0,False
111300,"That's 'Hajji' to you.  Only my mom has permission to call me 'Freddy' and she doesn't.  Yeah, I have a little understanding of the issue, as my own children and grandchildren are of 'mixed-race', to use an antiquated and inaccurate term--'race' has no biological validity with respect to Homo sapiens.  My offspring are of African-American, Syrian Arab, Fijian, Puerto Rican, Spaniard, Welsh, Scottish, French, German, English and (allegedly) Choctaw and Malagasy heritage.  When my son was born (I was in the delivery room for my children's births) I wrote 'human' in the little blocks where it said ""race of father"" and ""race of mother"".  As I was in the military at the time they made me change it.  And years later when my son was pulled over by the Oakland PD and assaulted because he looked to be the 'wrong color' to be driving a Corvette, they treated him as 'black'.  I'd say my family has more experience in this reality than does yours, or you wouldn't have said what you did.  Khalas.",0.5052603,0.5067058,0.50732756,1,1,1,False
162635,"pissedoffMarine, I agree with you 100%. This disrespect for our symbols of freedom are a slap in the face to all soldiers and American patriots. Who the hell do they think supports this game? Without a fan base; the team is nothing. The Broncos' fans are the most loyal in the country. They are loved whether they win or lose. This B.S. will ruin this team, if allowed to continue. My heart is broken to see this insane behavior condoned. Elway could take lessons from a more experienced owner, Jerry Jones. Of course, Texans are unique. They love AMERICA. Jerry Jones said emphatically ""Stand up or be fired. You will no longer be part of this team."" I believe all Cowboy players are relieved that they have no choice. They don't have to be bullied into being sheep because they are black. If they do not honor the Flag and National Anthem, no paycheck; contract cancelled. How easy would it be for all owners to keep the focus on football & tell them to go do this on their own time; not at work!",0.4943011,0.49490756,0.4954797,0,0,0,False
155564,"I think the strategy of hoping they will go away isn't going to work...it is clear that the last campaign gave legitimacy to extremism and white nationalists, junior KKK, new Nazis, and fomented racism. The little 'd' was at the center of this is also no surprise...he has rested on the fringe for quite a while...""birtherism and some other stupid stuff. It got him attention, and he found that the more stupid things he said, the more press he got...it may never have occured to him that people actually believed this bs. Of course he too brought out from under the rock Stephen Miller and Bannon, among others, who are on the tail-end of the fridge. Did you hear Miller's silly take on the Statue of Liberty? He dismissed the experience of millions! The prince of Orange broke it, he bought it, but he can't fix it because then his polling will be under 10%.",0.50469196,0.5054815,0.5064045,1,1,1,False
103473,"I agree with most of your comment except the part about the southern racists becoming republicans. In fact, out of all of the southern racist democrats, only 3 became republicans. All of the rest remained with the democratic party. Republicans have never been supportive of segregation, then or now. The major switch between the parties was strictly due to economic theory, not race. I would also agree that the democrats embraced the ideals of Lincoln since the 60's/70's but the republicans have never left those ideals. Nothing has been done to keep blacks from voting, only to keep anyone not entitled to vote from voting. There is no evidence that voting ID laws have had any impact on anyones ability to vote.",0.48745233,0.48668987,0.48632392,0,0,0,False
175981,"Parents move their children because there is no do-overs, not really. If you want your child to be accepted into a college they apply for, they have to have a consistent performance school record and high level classes. They have to have a solid education.

One thing that did work is our high school basically had high performers in one specific area of classes, with a separate lunch period even. It worked-the high performers continued to perform well, with a very good CO high school education and yes, applied for and went on to college successfully.

PS Important to note-if a student is a minority they are given more leeway re grades and testing for college enrollment acceptance. Their grades/tests are 'weighed' differently than the White students. Not a bigoted statement, just fact. I know I served for many years on the Bush mandated DAC committee and served in our schools too.",0.4899611,0.49022037,0.49147883,0,0,0,False
117184,"I would not want to go if my classmates might be turned away at the border.  If it was the 50's and the black kids in the class had to stay at a different hotel during your school trip to the southern USA, how would you feel?",0.5163364,0.5171137,0.5174337,1,1,1,False
145150,"One should take one’s position with courage and honesty! 
Instead posting one’s sole concerns for the policemen and criticizing anyone who expresses concerns for the racial discriminations of CJS in the US.

Especially, one have not expressed once, a concern for the black people’s suffering of violent discriminations even though many posters revealed documented facts of disproportional severe sentences for the black men by CJS. 

And turn around insisting that one is not racially prejudice by not saying ‘white’ police?
Saying ‘white’ police is a compliment since ‘white’ imply ‘superiority’ not like ‘black’ which imply ‘inferiority’ according to current custom in the US.

Who is this person trying to deceive here, God?  I certainly am not deceived. 
One can’t have both ways without make one appear ‘a fake’. 

And this one say, ""I eagerly await your apology.""  LOLOLOL!",0.49526608,0.4965783,0.49781224,0,0,0,False
170412,"BLM: ""Pigs in a blanket, fry 'em like bacon.""  ""What do we want? Dead cops! When do we want them? Now!""  By your logic, Obama and all of his supporters had a finger on the trigger.  Hysteria.  ""Defense of cultural heritage"" is ""white supremacy""?  Fine.  Keep playing that game and you'll turn more and more people against you.",0.49802017,0.49855804,0.49879935,0,0,0,False
166212,"Thanks for the tip. Like all good Americans, I enjoy shooting people. Being white, middle aged and having a good lawyer makes the odds good that I will get away with it.",0.48444104,0.4886113,0.48700243,0,0,0,False
147636,"Got a news flash for Trump, Klan and others; black community and brown community fastest growing in North America. Deal with it!",0.5141716,0.5171137,0.5159857,1,1,1,False
7232,If you ever begin to process information for yourself and not merely cut and paste from the opinion pieces of others - you might be able to comprehend the entire issue of identity politics ... and how a completely unsuitable man won the white presidency of the United States.,0.5249122,0.5274991,0.526921,1,1,1,False
31823,"Where's their protest about all the murders committed by blacks??  Just in Chicago alone last year, 760 killed.  This year, 500 as of Sunday.  Close to 70 in one day over the Labor Day Weekend.  Where is their anger over that??  

One idiot (Kaepernik), gets demoted because he sucks, so the very next week he throws a tantrum under the guise of ""Protest"",  (Even though he NEVER said a SINGLE word before about ANYTHING ever before), and thereby starts this wave of ignorance & stupidity nationwide.   

The NFL is committing Suicide By Libtardism, and I'm really enjoying their slow motion fall.  It's a total trainwreck.  They just.  Don't.  Get.  It.",0.50900173,0.5095127,0.5086737,1,1,1,False
131403,"This is so full of Hippy-dippy peace-nick nonsense. If this author is to be taken seriously, then all Flower Children and Hipsters should jump into a collective VW Microbus, head to Portland's high crime (black) neighborhoods and have a Love-In.  That will fix all the problems. That's how things work, right?",0.51271546,0.51494914,0.515094,1,1,1,False
149276,"Margaret, sorry but this article needs some simple research b/c it is a complete white-washing of 'race' in the Netherlands.  I'd direct your attention to the history of the Dutch Surinamese and the work of people like Philomena Essed and Dienke Hondius.  There is denial of racism; ‘race' appears to not exist only because they opt for synonyms like 'immigrants', 'allochtoon' and 'autochtoon' to refer to people – though terms like the latter ones are falling out of favour. Social problems with the Surinamese are still taken up as ‘ethnic’ problems despite their prima facie Dutch citizenship.  The unwillingness of this society to engage with racism and this claim that anyone can become Dutch (e.g., learning the language, etc.) does not change the fact that people who are not white are not seen as 'true' Dutch, not unlike North America.

Given the current social context and social upheaveal, this kind of half-informed/misinformation is unacceptable-G&M needs/must do better.",0.51298994,0.51471287,0.5141106,1,1,1,False
77060,"As a matter of fact I have been to the South.  I remember especially a trip there in the early 1950s and seeing AfricanAmericans in ""the back of the bus""; seeing segregated public accomodations, seeing ""WHITES ONLY"" drinking fountains and being amazed at the racism and racial discrimination....and, yes, that Confederate flag was prominantly displayed.  Don't try to convince me the Confederate flag today doesn't represent racism and white supremacy.  Take a look at who proudly displays it as they march for White supremacy/ White nationalism.  Gary Crum",0.49732402,0.4981794,0.4986286,0,0,0,False
80341,"Thats right wave, we dont like obama because he is black. Really, is that your argument? We all are just prejudiced? Yes obama did some good things but overall he was a terrible president.",0.50469196,0.5069118,0.5046805,1,1,1,False
134588,"So you support the denial of rights for groups who behave or believe in a manner you do not agree with.  And how is that different from what some categorize as white supremacist beliefs?
The last time I checked it took a minimum of two participants to have a fight....if there were not two boisterous opposing groups merging into a single space, violence would not occur.",0.50198174,0.50175095,0.50195694,1,1,1,False
59768,"Distinct society. Sorry Quebec Toronto and Vancouver beat the stuffing out of you on that point. 

You are white Europeans who come from the part of France next door to England. Your ancestors migrated and traded back and forth with the English. You are racially the same.

Vancouver meanwhile has seen a massive immigration from China and Toronto is the most culturally diverse city in Canada.  These are the real distinct societies in Canada.",0.49795532,0.49580008,0.4969807,0,0,0,False
54207,The best thing about Trump is that he has emboldened the white supremacy folks out into the open so we can't deny they exist.,0.5056188,0.50978726,0.50858223,1,1,1,False
29721,"In all fairness, there wasn't a lot in his speech that condemned the shooter's racism in what I saw was one sentence about halfway through.  And, a lot of the speech was about racism on blacks.  So, it was pretty much biased, but not to the subject of the funeral itself.

Obama did largely avoid pointing the finger directly at blacks who were either performing or calling for acts against whites.  And, the Dems/liberals kinda went along with it and protected him.  Kinda like how the Repubs/right are doing for Trump.  Trump is coming under much more criticism, and largely deserved since the idiot can't keep his stupid trap shut or, god forbid, actually say the right thing to begin with.

The problem are the various ""sides"" in our society.  If they mess up, they protect themselves and deflect.  None stand up and say, ""we're in the wrong and we need to clean up our act.""  Spineless.",0.4878106,0.48806232,0.48819193,0,0,0,False
76823,"My response to white privilege. 
Nietzsche, wrote and coined , the herd. 
White privilege can be a person's illusion of being important,  a member of the herd.
Or as an independent individual they are more skilled and more knowing.
Fight for and with  people, without regard to race,creed, religion, or national origin,  who are more skilled and knowing!
White privilege and the herd mentality, falls into the lower functioning of people, being just a spectator or an obstructer.
Obstructer or spectator, full of sound and fury, signifying, not much!",0.5245469,0.5281532,0.52696663,1,1,1,False
155694,"Trump nailed it , again.
The mostly black players are giving the country the middle finger, live and on prime time. and the mostly white owners are afraid to enforce their own agreed upon rules, lest they be labelled racists.
While it is so obvious that the racists are primarily the left , as are so many blacks, common sense , and the rule of law is being destroyed, along with our nation, by the fear of the label.
A bit like being excommunicated in the middle ages and just as dangerous.",0.5090093,0.5112057,0.51121336,1,1,1,False
167317,"Another gross over-generalization. The issue with people having guns around the police is serious...it threatens there lives. The issue is then why the difference, in most cases, when the person with the gun is black.",0.48053962,0.48252055,0.48238337,0,0,0,False
32589,"""This is all about racial injustice and white resentment that minorities no longer know their place in society. ""  Anyone who says such a racies's trash needs to taste trash himself!  How otherwise, could he know what he is  dishing out brainlessly to the others in this country?  The racial prejudice a learned behaviors! That is a reason for his parent get the credit for his pethedict racial prejudices!",0.48892388,0.48807752,0.49069318,0,0,0,False
150306,Reading this hit piece by MSW you'd think the Pres. Obama's only unqualified successes were that 1) he is black and 2) he has a nice family.,0.4919212,0.49299663,0.4930654,0,0,0,False
155710,"i find it interesting how quickly and conveniently folks ""forgot"" about soon to be former president urkel's long-time affiliation with the ever so pleasant reverend jeremiah wright of chicago.  have a listen of one of his ""sermons"", you white devils; truly enlightening.",0.5173575,0.5200546,0.51949084,1,1,1,False
18424,"Let's be clear, what Bannon has created is not a conservative movement, it is a white supremacist movement based in bigotry and racism plain and simple.",0.52933943,0.53321517,0.5306622,1,1,1,False
129571,No I just read the article. I didn't know we were to include everything we ever researched. As for Eugenics and doing away with the black race that was Margaret Sanger the founder of Planned Parenthood.,0.50468814,0.5076059,0.50711393,1,1,1,False
30817,"Those cotton stalks were also used by a university president when he hosted a dinner with black students.  Collard greens and corn bread were served at that dinner, which many found questionable.

If you're going to bring up the cotton thing, make sure you get the entire story.",0.49771687,0.4988699,0.50012934,0,0,1,True
66337,"You wrote:

<<The Pope and the SSPX have absolutely nothing in common, poles apart.>>

They  have Catholicism in common. Not that I'm a single bit sympathetic to Francis's overtures to the SSPX. Who needs these fascists.

Interesting to read an alt-right paean to the SSPX. Disclaimer: the following url links to the American neo-Nazi site Daily Stormer.

https://www.dailystormer.com/traditional-catholicism-is-pro-fascism-jew-wise-and-perfect-for-white-nationalists/",0.5244708,0.52786416,0.52714914,1,1,1,False
112824,"Next you'll be sending me Holocaust denial propaganda.  

I won't argue with anyone who makes the absurd claim that America is suddenly full of racists.  I find it hateful and insulting, and given that this country has voted twice for a Black president, absurd.  

This column is just spreading lies, and hatred.",0.51590955,0.5160772,0.5162906,1,1,1,False
98515,"Exedus,

If Sessions goes who does Trump put in charge of gerrymandering? Who does Trump detail to make it harder for blacks and other minorities to vote?",0.50139713,0.50345796,0.50203323,1,1,1,False
141123,"So, you see it as a sign that they chose to 'disrepect the flag'. They see it as free speech to draw attention to the fact that black people are being killed by police officers at a 600% higher rate than white people.

about your ""Its only pissing off half the country"" remark. the people that get pissed about it should be getting pissed that innocent civilians are getting shot by out of control law enforcement. Imagine if they put their effort into that, what a difference it would make.",0.50892544,0.50984067,0.5096957,1,1,1,False
168322,"The real instigators are Democrats and Liberals! That's the Un-Americans for you!
Democrats teaches Racism and Hate against the White Man every chance they get!
Liberals, Milinnials will riot to stop short an orators point of view.
SAD! Un-Americans! Home Grown Terrorists spewin racism, hate and controlled speech!",0.5061985,0.5069042,0.5067058,1,1,1,False
89794,"Mr Bowers apparently doesn't understand the difference between statues which honor individuals for their contributions to our nation and statues which were erected to celebrate the JimCrow Era of post-Reconstruction. 

 Obviously we need to remember the dark days of slavery in our country.  That doesn't mean we need to celebrate them. We need to remember the JimCrow Era and the efforts to subjugate Blacks to as close to slavery status as possible.  That doesn't mean we need to celebrate it.  We need to recognize that racism is ""alive and well"" in our nation today.  We need to recognize that white supremacy/white nationalist sentiment exists and is being increasingly paraded and celebrated by formerly ""closeted"" racists in our communities.  

Indeed, before emancipation, some great Americans were also slaveowners.  Indeed, over our history some of our leaders were far from perfect.  IMO, we can ""forgive"" them for such imperfections and celebrate their good qualities. (cont)",0.51055753,0.51205975,0.51170135,1,1,1,False
125181,"Classy . . . That's about what I'd expect from a ""moderate Democrat"" 

You stole the primary from Bernie, then ran the most lame presidential campaign in American history--which is going a bit to be worse than Gore, Kerry or McGovern--and then blamed you own left, the electoral college, gerrymandering, and Russia, for a loss in an election that should have been a slam dunk. 

Hillary was the perfect candidate to lose an election dominated by outsider sentiment. Her organization didn't even have the good sense to campaign in the heartland states  where the votes of rural white people count about 2x what votes in urban districts. Sheer freaking genius . . .",0.48095095,0.47869635,0.47983885,0,0,0,False
48417,"You sir, are so badly misinformed about this election you should have your voter registration taken away.  The biggest thing to come out of this election is Trump aversion to hire all of those failed campaign professionals that the RNC stuck McClain and Romney with.  Trump isn't running his campaign like those of the past.  He has virtually no ground game except for those organizing as volunteers to door knock their neighborhoods, wave rally banners on busy road junctions and use the Trump Talk program to make phone calls from home to registered voters using their computer system.  Trump will collect the strong support of all GOP members and also a very large number of Hispanics, Blacks and women who are so feed up with Clinton's actions towards them.  Then add in near 90% of all active duty and veterans of our military,  Another 90% of all Police, First Responder's and Fireman.  Then add in all Border Patrol, ICE and Secret Service personnel.  Hillary better get her Prison pants suit.",0.49116609,0.489229,0.48953402,0,0,0,False
